cik,ticker,name,is_known_case,fiscal_year,f_roa,f_cfo,f_droa,f_accrual,f_dleverage,f_dliquidity,f_neqissue,f_dmargin,f_dturnover,fscore,fscore_available,fscore_missing_inputs,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI,mscore,mscore_flag,mscore_available,mscore_missing_inputs,accruals,asset_growth,filing_date,source_form
858877,CSCO,Cisco,False,2019,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,9,,0.9396277959986626,0.9858261383367343,1.196134287372664,1.052179201297385,1.0150754992693618,0.8098863020076099,-0.043050116061476795,1.0847016437041137,-2.6119398190558387,False,8,,-0.043050116061476795,-0.10103507868804236,2019-09-05,10-K
858877,CSCO,Cisco,False,2020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9,,1.049155217624045,0.9793198572515113,1.0654280293577905,0.9498497225647349,0.983255623002258,1.1092700473695054,-0.044405553857020864,0.8238899824792927,-2.634903101038814,False,8,,-0.044405553857020864,-0.03006350147761087,2020-09-03,10-K
858877,CSCO,Cisco,False,2021,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,9,,1.0427927172451583,1.0038015624734662,1.1167401962282706,1.0104866027058275,1.0528631076647776,1.1063205340165476,-0.0498784577987015,0.9298107487242773,-2.6047436796010044,False,8,,-0.0498784577987015,0.027874711395527815,2021-09-09,10-K
858877,CSCO,Cisco,False,2022,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,9,,1.1097194245291127,1.023546447097701,1.0231343543313545,1.0349070617046048,0.891332058636074,0.9433708120935625,-0.01504223314397566,1.0013381750054295,-2.3997190122196375,False,8,,-0.01504223314397566,-0.03584725683867196,2022-09-08,10-K
858877,CSCO,Cisco,False,2023,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,9,,0.799634573644188,0.9971540891762668,0.9418072660412221,1.1055336811684155,1.1379539302313704,1.0668497783241775,-0.07140753249813454,1.0289166085256787,-2.934417689521217,False,8,,-0.07140753249813454,0.08350886151358482,2023-09-07,10-K
858877,CSCO,Cisco,False,2024,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,9,,1.2097672359121616,0.9690157328343832,1.2400705250878672,0.9439454015930383,1.0017953321364452,1.2026009843071268,-0.004501137340953116,1.298165542460643,-2.4095879057758527,False,8,,-0.004501137340953116,0.2215076778070141,2024-09-05,10-K
858877,CSCO,Cisco,False,2025,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,9,,0.9519499607096829,0.9968339805818228,1.014149801189881,1.052989610244782,1.0082437275985663,1.0101079075608432,-0.032815170372308675,0.9788243121174905,-2.620302706041913,False,8,,-0.032815170372308675,-0.017056095424111628,2025-09-03,10-K
1744489,DIS,Walt Disney,False,2019,,1.0,,,,,,,,,1,gross_margin,,,,,,,0.02613617617947872,,,,1,gross_margin,0.02613617617947872,,2019-11-20,10-K
1744489,DIS,Walt Disney,False,2020,0.0,1.0,,1.0,,1.0,0.0,,,,5,gross_margin,0.8733777926254395,,0.9622004563934081,0.9398878827080638,0.8144234650279395,1.1402894281224731,-0.05199728105820421,1.1020488607372576,,,7,gross_margin,-0.05199728105820421,0.038998061695809966,2020-11-25,10-K
1744489,DIS,Walt Disney,False,2021,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,8,gross_margin,1.0201849938725969,,1.012804302200498,1.0310454517648497,1.054502426224919,1.0599073736107818,-0.017538517452568403,0.9907785592983661,,,7,gross_margin,-0.017538517452568403,0.010220839597318766,2021-11-24,10-K
1744489,DIS,Walt Disney,False,2022,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,,8,gross_margin,0.771400780520301,,1.0261692689726578,1.2270016909430717,1.0167916359950366,0.9880990466070932,-0.014030280261846183,0.9340211883921754,,,7,gross_margin,-0.014030280261846183,0.00010805023353584566,2022-11-29,10-K
1744489,DIS,Walt Disney,False,2023,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,,8,gross_margin,0.9068447203257461,,0.9690041732766292,1.0746597035855032,1.000112731043677,0.870793503002042,-0.03654069725020552,0.9754477691668757,,,7,gross_margin,-0.03654069725020552,0.009566323398696662,2023-11-21,10-K
1744489,DIS,Walt Disney,False,2024,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,8,gross_margin,1.004528715008302,,1.0177772354078234,1.0277059101442103,1.1218887241115822,0.999879585668842,-0.045862021516774626,1.0524081637608025,,,7,gross_margin,-0.045862021516774626,-0.045529942260639465,2024-11-14,10-K
1744489,DIS,Walt Disney,False,2025,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,8,gross_margin,1.004644600721507,,0.9790169618069108,1.0335372861505456,1.0383373311365867,1.0131073352472222,-0.028843525015948238,0.9381869298182757,,,7,gross_margin,-0.028843525015948238,0.006599768625872113,2025-11-13,10-K
40545,GE,General Electric,True,2009,,1.0,,,,,,,,,1,"current_assets,current_liabilities",,,,,,,-0.0171075621180377,,,,1,"current_assets,sga,current_liabilities",-0.017354422640563406,,2010-02-19,10-K
